날짜,댓글,BERT,LSTM
2021-06-01,네이버 주가예상 가즈아,0.617648720741272,1.0
2021-06-01,네이버 분들 오세요!!,0.6901599168777466,0.119831
2021-06-01,공매도 관련 전쟁 동영상 (한투연),0.0308685302734375,0.0
2021-06-01,역시 네이버가 갑 !!,0.8038491010665894,0.392791
2021-06-01,네이버 ㅋㅋㅋ,0.4043878316879272,0.014867
2021-06-01,이번달에,0.9194998145103456,0.001339
2021-06-01, 이번달에,0.9194998145103456,0.001339
2021-06-01,오늘 입성했습니다 ㅋㅋ,0.8738704919815063,0.470506
2021-06-01, 네이버 ㅋㅋㅋ,0.4043878316879272,0.014867
2021-06-01,직장내 임직원 갑질  네이버 규탄한다!!,0.1827620863914489,1.0
2021-06-01,6월 예상,0.3451488614082336,0.108306
2021-06-01,네이버 나이스 카카오보다 더 많이 오르네...,0.8165132403373718,1.0
2021-06-01,카카오가즈아!!!!,0.935961365699768,0.238054
2021-06-01,네이버인수키네마스★타☆동영상틱톡세계1위특...,0.7654860019683838,0.998831
2021-06-01,네이버따이가,0.3231760859489441,0.010627
2021-06-01,kyh4를 이기는 방법,0.5723830461502075,0.296992
2021-06-01,네또속 네또속 속터진다 진짜,0.2626456618309021,0.144938
2021-06-01,6월기대,0.8291143774986267,0.084744
2021-06-01,네이버 물리신분들 들어오시오,0.5064619183540344,1.0
2021-06-01,대표가 책임진다고 했는데,0.2310767769813537,0.247365
2021-06-01,39층에 잡은 내가 등신이지,0.3217326998710632,0.0548
2021-06-01,ㅜㅜ,0.6812850832939148,0.084744
2021-06-01,쓰레기 회사,0.0034924149513244,0.0
2021-06-01,전고 가자,0.2494352459907531,1.0
2021-06-01,왠지,0.6812850832939148,0.084744
2021-06-01,안에서 곪아 썩어가고 있는 네이버,0.362947404384613,0.026867
2021-06-01,어쩐지 주식이 빌빌거린다 햇더니,0.3926504850387573,0.999745
2021-06-01,네이바야 네 퍼좀 봐...,0.4992240667343139,0.051466
2021-06-01,뉴스에 네이버 나오네,0.3397727608680725,0.015663
2021-06-01,[단독] ‘네이버 직원 사망 사건’ 관련...,0.3463857173919678,0.996826
2021-06-01,내일은,0.4664733409881592,0.074666
2021-06-01,6/1 네이버의 기록,0.5906272530555725,0.156243
2021-06-01,"[속보] 네이버, 레드벨벳 슬기, 네이버...",0.4892681837081909,0.037706
2021-06-01,시대가바뀐걸인정하고 저도 네반카반하다가 ...,0.6637278199195862,0.574796
2021-06-01,1년전 20조 차이가 지금은 4조 500...,0.0967248678207397,0.736928
2021-06-01,네이버 주가 전망,0.1510094404220581,0.392155
2021-06-01,솔직히 네이버 하락세인게,0.0557161569595336,0.0
2021-06-01,단독)NAVER와 카카오... 이것만 알...,0.0773966908454895,0.376514
2021-06-01,[속보]금일 네이버 내부 문건 공개.. ...,0.1029620766639709,0.038427
2021-06-01,진짜 실망입니다ㅜ 한국의 대표 IT기업이...,0.7297840118408203,0.219838
2021-06-01,저점찍고 올라가는거 보이시죠?,0.1995062828063964,1.0
2021-06-01,속보)NAVER 장초 강세... 10.8...,0.7342852354049683,0.818738
2021-06-01,1분기 실적 오기입 되어있습니다.,0.0699871778488159,0.528004
2021-06-01,목표가 하락,0.0244204998016357,0.0
2021-06-01,네이버 문제 많슴니다,0.2084758877754211,0.01148
2021-06-01,이거  또  좌표찍엇나보네,0.2705190181732178,0.287449
2021-06-01,거의 무지성 종교급이네요.,0.3017902970314026,0.999692
2021-06-01,이번년 40 돌파하니 무조건 매수,0.8618330359458923,1.0
2021-06-01, 시대가바뀐걸인정하고 저도 네반카반하다가 ...,0.6637278199195862,0.574796
2021-06-01,네이버 3주 현재 수익,0.4924144148826599,1.0
2021-06-01,빠질줄알앗는데 오르네,0.7220870852470398,0.001973
2021-06-01,카카오,0.649267852306366,0.082566
2021-06-01,호구들 쳐 물림~~ㅋㅋ,0.2850703597068786,0.0
2021-06-01,드디어 탈출...,0.3762053847312927,0.0
2021-06-01,38층 사람 있어요 ㅠㅠ,0.6893338561058044,0.725856
2021-06-01,네이버 ㅋㅋㅋ kyh4 이쉐리 어디갔냐 ...,0.1769508123397827,0.999984
2021-06-01,뭐 이런 OOO들이 많네. 네이버 너나팔...,0.1007135510444641,0.783292
2021-06-01,37.5 층에 사람 있어요,0.5635805130004883,0.725856
2021-06-01,돌아가신,0.7674789428710938,0.002055
2021-06-01,살인기업 애초에 널렸음,0.0875715613365173,0.964753
2021-06-01,텔레칩스 간다,0.172012984752655,1.0
2021-06-01,주봉 20주선 돌파하즈아아아 1차 370...,0.3383749723434448,1.0
2021-06-01,[OVS]형이다.,0.1033822894096374,0.313603
2021-06-01,끼얏호!!,0.938735842704773,0.91222
2021-06-01,사람죽어서 뉴스타는데 반대로 주식은 오르...,0.3629322052001953,1.0
