날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021-12-19,108,-0.8,-5.8,4.2
2021-12-20,108,5.2,-0.9,11.1
2021-12-21,108,5.2,0.8,8.9
2021-12-22,108,2.2,-2.6,8.2
2021-12-23,108,2.7,-1.5,8.3
2021-12-24,108,-0.3,-7.3,3.2
2021-12-25,108,-11.7,-14.4,-7.3
2021-12-26,108,-12.1,-15.5,-7.3
2021-12-27,108,-7.6,-12.9,-3.9
2021-12-28,108,-4.1,-8.5,-0.9
2021-12-29,108,0.4,-3.8,5.9
2021-12-30,108,-3.9,-6.8,0.2
2021-12-31,108,-6.7,-8.8,-3.9
2022-01-01,108,-4.3,-10.2,2.3
2022-01-02,108,-1.3,-5.2,3
2022-01-03,108,-1.9,-8,2.5
2022-01-04,108,-2.5,-5.6,1
2022-01-05,108,-2.8,-7.8,1.9
2022-01-06,108,-2.2,-5.9,3.3
2022-01-07,108,-1.6,-5.9,4.5
2022-01-08,108,0.3,-5,3.7
2022-01-09,108,1.3,-1.2,5.6
2022-01-10,108,0.5,-3.4,4.4
2022-01-11,108,-7.4,-10.3,0.3
2022-01-12,108,-7.7,-11.3,-3.4
2022-01-13,108,-6.4,-8.9,-3.1
2022-01-14,108,-4.8,-10.1,1.3
2022-01-15,108,-1,-5.3,1.8
2022-01-16,108,-2,-7.2,2.4
2022-01-17,108,-5.8,-9.2,0.1
